Epoch,Total Runtime,Validation Perplexity,Average Convergence Cap,Maximum Convergence Gap
1,26.501026934000002,211.32935340390742,0.0,0.0
2,54.042749936999996,169.4311355489088,0.0,0.0
3,81.731907177,151.03029599390484,0.0,0.0
4,109.393069954,141.24511820255162,0.0,0.0
5,137.183455798,134.99915498325245,0.0,0.0
6,164.855907403,131.2997782810548,0.0,0.0
7,192.51583712700003,129.46578155960108,0.0,0.0
8,644.972830304,239.25728799365655,0.0,0.0
9,1518.781943576,120.4798693905724,0.0,0.0
10,2394.2914907880004,115.15120703666634,0.0,0.0
11,3270.0555283390004,108.92783649366748,0.0,0.0
12,4145.997452725,106.84757837705305,0.0,0.0
13,5022.108272306999,110.91966477224932,0.0,0.0
14,5896.5519745149995,102.5846654318274,0.0,0.0
15,6772.652225553,102.81899706173016,0.0,0.0
16,7647.0898887799995,101.07167102966945,0.0,0.0
17,8523.164310008,100.00476868942383,0.0,0.0
18,9399.513838621,100.48008858695842,0.0,0.0
19,10274.719216853,99.94666875746799,0.0,0.0
20,11151.449673301,99.06301154925886,0.0,0.0
21,12028.455952836,97.74190356938527,0.0,0.0
22,12904.964895795,102.73236394338907,0.0,0.0
23,13779.8729609,99.69617327597224,0.0,0.0
24,14654.734507353,98.85374045458308,0.0,0.0
25,15529.637691742,96.13887184882269,0.0,0.0
26,16406.029440432,94.92265728674508,0.0,0.0
